signal_id,date,pass,outcome,pnl,ER,run_length_mean,VR
S653,2022-06-22,False,L,-0.8125,0.0413,6.67,0.801
S654,2022-06-22,False,L,-0.6875,0.0413,6.67,0.801
S655,2022-06-22,False,EOD+,1.1,0.0413,6.67,0.801
S656,2022-06-23,False,L,-1.25,0.0465,6.76,0.8025
S657,2022-06-23,False,L,-1.3571,0.0465,6.76,0.8025
S658,2022-06-23,False,L,-1.4196,0.0465,6.76,0.8025
S659,2022-06-23,False,EOD+,0.6,0.0465,6.76,0.8025
S660,2022-06-27,False,EOD+,0.1,0.0375,6.85,0.7843
S661,2022-06-27,False,EOD-,-0.1,0.0375,6.85,0.7843
S662,2022-06-27,False,EOD-,0.0,0.0375,6.85,0.7843
S663,2022-06-27,False,EOD-,0.0,0.0375,6.85,0.7843
S664,2022-06-27,False,EOD-,-0.05,0.0375,6.85,0.7843
S665,2022-06-27,False,L,-0.7857,0.0375,6.85,0.7843
S666,2022-06-27,False,EOD+,0.25,0.0375,6.85,0.7843
S667,2022-06-27,False,EOD+,0.1,0.0375,6.85,0.7843
S668,2022-06-28,False,L,-1.2946,0.0521,6.73,0.7734
S669,2022-06-28,False,L,-1.0089,0.0521,6.73,0.7734
S670,2022-06-28,False,L,-0.9821,0.0521,6.73,0.7734
S671,2022-06-28,False,L,-0.9643,0.0521,6.73,0.7734
S672,2022-06-28,False,EOD+,0.35,0.0521,6.73,0.7734
S673,2022-06-28,False,EOD+,0.35,0.0521,6.73,0.7734
S674,2022-06-29,False,L,-1.0893,0.0554,6.56,0.8317
S675,2022-06-29,False,W,1.9929,0.0554,6.56,0.8317
S676,2022-06-29,False,W,2.1375,0.0554,6.56,0.8317
S677,2022-06-29,False,W,1.8161,0.0554,6.56,0.8317
S678,2022-06-29,False,W,1.5589,0.0554,6.56,0.8317
S679,2022-06-29,False,W,1.5911,0.0554,6.56,0.8317
S680,2022-06-29,False,W,1.2375,0.0554,6.56,0.8317
S681,2022-06-29,False,L,-0.6607,0.0554,6.56,0.8317
S682,2022-06-29,True,W,2.3786,0.0554,6.56,0.8317
S683,2022-06-30,False,L,-2.4464,0.0359,6.44,0.8043
S684,2022-06-30,False,EOD-,-0.6,0.0359,6.44,0.8043
S685,2022-06-30,False,L,-1.7411,0.0359,6.44,0.8043
S686,2022-06-30,False,L,-1.2411,0.0359,6.44,0.8043
S687,2022-06-30,False,L,-1.2857,0.0359,6.44,0.8043
S688,2022-06-30,False,L,-1.2768,0.0359,6.44,0.8043
S689,2022-06-30,False,EOD+,0.55,0.0359,6.44,0.8043
S690,2022-07-01,False,L,-1.1696,0.0511,6.31,0.8137
S691,2022-07-01,False,L,-1.2411,0.0511,6.31,0.8137
S692,2022-07-01,False,L,-1.2321,0.0511,6.31,0.8137
S693,2022-07-01,False,L,-1.0179,0.0511,6.31,0.8137
S694,2022-07-01,False,L,-0.9554,0.0511,6.31,0.8137
S695,2022-07-01,False,EOD-,-0.1,0.0511,6.31,0.8137
S696,2022-07-04,False,L,-1.625,0.0346,6.53,0.7964
S697,2022-07-04,True,W,3.3268,0.0346,6.53,0.7964
S698,2022-07-04,False,L,-0.9196,0.0346,6.53,0.7964
S699,2022-07-04,False,L,-1.0625,0.0346,6.53,0.7964
S700,2022-07-04,False,L,-0.9643,0.0346,6.53,0.7964
S701,2022-07-04,False,EOD+,0.4,0.0346,6.53,0.7964
S702,2022-07-05,False,L,-0.7143,0.0248,6.76,0.8405
S703,2022-07-05,False,L,-0.4464,0.0248,6.76,0.8405
S704,2022-07-05,False,L,-0.6964,0.0248,6.76,0.8405
S705,2022-07-06,False,EOD-,-0.3,0.0305,7.44,0.859
S706,2022-07-07,False,EOD-,-0.15,0.0261,7.63,0.879
S707,2022-07-07,False,W,0.6429,0.0261,7.63,0.879
S708,2022-07-07,False,EOD-,-0.05,0.0261,7.63,0.879
S709,2022-07-07,False,EOD-,-0.1,0.0261,7.63,0.879
S710,2022-07-07,False,L,-0.4375,0.0261,7.63,0.879
S711,2022-07-08,False,W,1.8804,0.0183,7.74,0.8967
S712,2022-07-08,False,W,1.9929,0.0183,7.74,0.8967
S713,2022-07-08,False,W,1.2214,0.0183,7.74,0.8967
S714,2022-07-11,False,L,-0.6875,0.0199,8.12,0.8765
S715,2022-07-12,False,L,-1.1518,0.0264,7.99,0.8911
S716,2022-07-12,False,L,-1.1696,0.0264,7.99,0.8911
S717,2022-07-12,False,L,-0.5089,0.0264,7.99,0.8911
S718,2022-07-12,False,L,-0.5357,0.0264,7.99,0.8911
S719,2022-07-12,False,L,-0.5446,0.0264,7.99,0.8911
S720,2022-07-12,False,L,-0.5357,0.0264,7.99,0.8911
S721,2022-07-12,False,L,-0.6161,0.0264,7.99,0.8911
S722,2022-07-13,False,L,-0.8929,0.0273,8.08,0.9118
S723,2022-07-13,False,L,-0.7143,0.0273,8.08,0.9118
S724,2022-07-13,False,L,-0.5089,0.0273,8.08,0.9118
S725,2022-07-13,False,L,-0.4643,0.0273,8.08,0.9118
S726,2022-07-13,False,L,-0.4464,0.0273,8.08,0.9118
S727,2022-07-14,False,EOD-,-0.55,0.02,8.35,0.899
S728,2022-07-14,False,L,-1.4375,0.02,8.35,0.899
S729,2022-07-14,False,L,-0.6607,0.02,8.35,0.899
S730,2022-07-14,False,L,-0.4821,0.02,8.35,0.899
S731,2022-07-14,False,L,-0.3571,0.02,8.35,0.899
S732,2022-07-14,False,EOD+,0.45,0.02,8.35,0.899
S733,2022-07-14,False,W,0.9321,0.02,8.35,0.899
S734,2022-07-15,False,L,-1.125,0.0165,8.74,0.9366
S735,2022-07-15,False,L,-1.0625,0.0165,8.74,0.9366
S736,2022-07-15,False,L,-1.0893,0.0165,8.74,0.9366
S737,2022-07-15,False,L,-0.5893,0.0165,8.74,0.9366
S738,2022-07-15,False,L,-0.6429,0.0165,8.74,0.9366
S739,2022-07-18,True,L,-1.0714,0.005,9.24,0.9297
S740,2022-07-18,False,L,-0.7232,0.005,9.24,0.9297
S741,2022-07-18,False,L,-0.5804,0.005,9.24,0.9297
S742,2022-07-19,False,L,-0.75,0.0015,9.18,0.9522
S743,2022-07-19,False,L,-0.4196,0.0015,9.18,0.9522
