Price,Close,High,Low,Open,Volume,MA20,MA50,EMA200,ADX,Actual_Regime,GSS_Score,GSS_Prediction,Match
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,,,,,,,,
Date,,,,,,,,,,,,,
2023-02-28,17303.94921875,17440.44921875,17255.19921875,17383.25,420900,17739.22236328125,17904.2469140625,17612.644321786553,0.0,BEAR,-10,BEAR,True
2023-03-01,17450.900390625,17467.75,17345.25,17360.099609375,272900,17730.95234375,17885.55890625,17611.027479650045,0.0,BEAR,-10,BEAR,True
2023-03-02,17321.900390625,17445.80078125,17306.0,17421.5,310700,17716.52734375,17868.014921875,17608.137409360683,0.0,BEAR,-10,BEAR,True
2023-03-03,17594.349609375,17644.75,17427.69921875,17451.25,356200,17703.54228515625,17857.354921875,17607.99959489886,0.0,BEAR,-10,BEAR,True
2023-03-06,17711.44921875,17799.94921875,17671.94921875,17680.349609375,362800,17700.884765625,17855.447890625,17609.03356773599,0.0,SIDEWAYS,-10,BEAR,False
2023-03-08,17754.400390625,17766.5,17602.25,17665.75,267000,17702.52978515625,17850.24390625,17610.48643555301,0.0,SIDEWAYS,30,SIDEWAYS,True
2023-03-09,17589.599609375,17772.349609375,17573.599609375,17772.05078125,262400,17688.4248046875,17839.3898828125,17610.277691533178,0.0,BEAR,30,SIDEWAYS,False
2023-03-10,17412.900390625,17451.5,17324.349609375,17443.80078125,235900,17664.39736328125,17825.197890625,17608.305178993178,0.0,BEAR,-10,BEAR,True
2023-03-13,17154.30078125,17529.900390625,17113.44921875,17421.900390625,254900,17629.28740234375,17804.46390625,17603.768231073846,0.0,BEAR,-10,BEAR,True
2023-03-14,17043.30078125,17224.650390625,16987.099609375,17160.55078125,290600,17592.907421875,17783.22390625,17598.167619097003,0.0,BEAR,-10,BEAR,True
2023-03-15,16972.150390625,17211.349609375,16938.900390625,17166.44921875,248200,17545.0224609375,17758.7179296875,17591.912250338737,0.0,BEAR,-10,BEAR,True
2023-03-16,16985.599609375,17062.44921875,16850.150390625,16994.650390625,349800,17493.5099609375,17733.77890625,17585.854031177514,0.0,BEAR,-10,BEAR,True
2023-03-17,17100.05078125,17145.80078125,16958.150390625,17111.80078125,408100,17446.72001953125,17714.9209375,17581.000132774556,0.0,BEAR,-10,BEAR,True
2023-03-20,16988.400390625,17066.599609375,16828.349609375,17066.599609375,241800,17398.930078125,17694.8459375,17575.079422446433,0.0,BEAR,-10,BEAR,True
2023-03-21,17107.5,17127.69921875,17016.0,17060.400390625,246700,17362.07509765625,17679.806953125,17570.40799063292,0.0,BEAR,-10,BEAR,True
2023-03-22,17151.900390625,17207.25,17107.849609375,17177.44921875,0,17328.33515625,17660.8209765625,17566.22698821697,0.0,BEAR,-10,BEAR,True
2023-03-23,17076.900390625,17205.400390625,17045.30078125,17097.400390625,219200,17304.46513671875,17644.0759765625,17561.338680767298,0.0,BEAR,-10,BEAR,True
2023-03-24,16945.05078125,17109.44921875,16917.349609375,17076.19921875,228000,17276.15517578125,17625.0630078125,17555.182290746998,0.0,BEAR,-10,BEAR,True
2023-03-27,16985.69921875,17091.0,16918.55078125,16984.30078125,218400,17252.15009765625,17607.6130078125,17549.493679307197,0.0,BEAR,-10,BEAR,True
2023-03-28,16951.69921875,17061.75,16913.75,17031.75,238800,17230.10009765625,17587.515,17543.52249503127,0.0,BEAR,-10,BEAR,True
2023-03-29,17080.69921875,17126.150390625,16940.599609375,16977.30078125,345900,17218.93759765625,17571.2319921875,17538.899673950462,0.0,BEAR,-10,BEAR,True
2023-03-31,17359.75,17381.599609375,17204.650390625,17210.349609375,263900,17214.380078125,17557.3609765625,17537.11034006463,0.0,SIDEWAYS,-10,BEAR,False
2023-04-03,17398.05078125,17428.05078125,17312.75,17427.94921875,230200,17218.18759765625,17542.015,17535.72147565688,0.0,SIDEWAYS,10,BEAR,False
2023-04-05,17557.05078125,17570.55078125,17402.69921875,17422.30078125,248300,17216.32265625,17530.9990234375,17535.934495233934,0.0,SIDEWAYS,10,BEAR,False
2023-04-06,17599.150390625,17638.69921875,17502.849609375,17533.849609375,242700,17210.70771484375,17522.4290234375,17536.565820335352,0.0,SIDEWAYS,30,SIDEWAYS,True
2023-04-10,17624.05078125,17694.099609375,17597.94921875,17634.900390625,254800,17204.190234375,17512.5390234375,17537.43948402791,0.0,SIDEWAYS,10,BEAR,False
2023-04-11,17722.30078125,17748.75,17655.150390625,17704.80078125,304300,17210.82529296875,17504.6190234375,17539.285524264305,0.0,SIDEWAYS,10,BEAR,False
