symbol,model,split,bucket,n,pnl,pf,zpnl,zpf
BHARTIARTL,MA-alone,test,SHORT gated,434,210.69,1.179,-413.04,0.732
BHARTIARTL,MA-alone,test,LONG baseline,911,398.65,1.154,-972.82,0.717
BHARTIARTL,MA-alone,test,LONG gated,469,458.31,1.362,-266.09,0.843
BHARTIARTL,MA-alone,test,COMBINED baseline,1825,285.67,1.054,-2455.96,0.651
BHARTIARTL,MA-alone,test,COMBINED gated,903,669.0,1.274,-679.13,0.79
BHARTIARTL,Model B,train,SHORT baseline,2837,139.26,1.036,-1235.48,0.735
BHARTIARTL,Model B,train,SHORT gated,1107,189.93,1.127,-359.34,0.803
BHARTIARTL,Model B,train,LONG baseline,2718,-218.72,0.946,-1558.3,0.683
BHARTIARTL,Model B,train,LONG gated,1637,-86.72,0.963,-882.08,0.691
BHARTIARTL,Model B,train,COMBINED baseline,5555,-79.46,0.99,-2793.77,0.709
BHARTIARTL,Model B,train,COMBINED gated,2744,103.21,1.027,-1241.41,0.735
BHARTIARTL,Model B,test,SHORT baseline,914,-112.98,0.959,-1483.15,0.588
BHARTIARTL,Model B,test,SHORT gated,424,134.33,1.114,-494.14,0.682
BHARTIARTL,Model B,test,LONG baseline,911,398.65,1.154,-972.82,0.717
BHARTIARTL,Model B,test,LONG gated,475,393.87,1.304,-332.74,0.807
BHARTIARTL,Model B,test,COMBINED baseline,1825,285.67,1.054,-2455.96,0.651
BHARTIARTL,Model B,test,COMBINED gated,899,528.2,1.213,-826.88,0.748
CIPLA,Model A,train,SHORT baseline,2733,789.1,1.17,-1138.53,0.802
CIPLA,Model A,train,SHORT gated,1055,478.91,1.28,-269.69,0.874
CIPLA,Model A,train,LONG baseline,2873,-1461.0,0.756,-3499.02,0.524
CIPLA,Model A,train,LONG gated,1781,-451.09,0.87,-1702.97,0.604
CIPLA,Model A,train,COMBINED baseline,5606,-671.9,0.937,-4637.55,0.646
CIPLA,Model A,train,COMBINED gated,2836,27.82,1.005,-1972.66,0.693
CIPLA,Model A,test,SHORT baseline,888,309.53,1.134,-941.84,0.693
CIPLA,Model A,test,SHORT gated,365,23.5,1.024,-488.45,0.624
CIPLA,Model A,test,LONG baseline,929,-203.36,0.927,-1506.82,0.584
CIPLA,Model A,test,LONG gated,535,35.44,1.023,-717.12,0.649
CIPLA,Model A,test,COMBINED baseline,1817,106.16,1.021,-2448.66,0.634
CIPLA,Model A,test,COMBINED gated,900,58.94,1.023,-1205.56,0.64
CIPLA,MA-alone,train,SHORT baseline,2688,734.0,1.161,-1166.11,0.793
CIPLA,MA-alone,train,SHORT gated,678,552.09,1.476,15.13,1.01
CIPLA,MA-alone,train,LONG baseline,2823,-1381.64,0.763,-3389.51,0.529
CIPLA,MA-alone,train,LONG gated,2088,-705.86,0.823,-2135.44,0.566
