symbol,entry_dt,entry,sl,tp,exit_dt,exit_price,outcome,pnl,touch_dt,atr_pct_at_touch,hidden_atr_pct_rollmean40,bucket
TATAMOTORS,2023-06-12 10:15:00,387.75,390.1928571428571,382.2535714285714,2023-06-12 15:00:00,389.45,EOD-,-1.6999999999999886,2023-06-12 10:10:00,0.3150447695198796,0.1972628936164138,Mid vol
TATAMOTORS,2023-06-14 13:30:00,390.5,391.7142857142857,387.7678571428572,2023-06-14 14:00:00,391.7142857142857,L,-1.2142857142857224,2023-06-14 13:25:00,0.1554783244924089,0.1639981440520628,Low vol
TATAMOTORS,2023-06-15 11:45:00,393.85,395.2142857142857,390.7803571428572,2023-06-15 15:00:00,391.8,EOD+,2.050000000000012,2023-06-15 11:40:00,0.1731986434284244,0.1944993117779724,Mid vol
TATAMOTORS,2023-06-16 09:50:00,392.05,393.6642857142857,388.41785714285714,2023-06-16 15:00:00,392.2,EOD-,-0.1499999999999772,2023-06-16 09:45:00,0.2058775301984078,0.1596609029137879,Low vol
TATAMOTORS,2023-06-19 10:25:00,392.8,394.6071428571429,388.7339285714286,2023-06-19 13:30:00,388.7339285714286,W,4.066071428571433,2023-06-19 10:20:00,0.2300334594122787,0.1537772671391466,Low vol
TATAMOTORS,2023-06-19 14:35:00,389.8,391.3571428571429,386.2964285714286,2023-06-19 15:00:00,390.3,EOD-,-0.5,2023-06-19 14:30:00,0.1997361284175051,0.1818507704541845,Mid vol
TATAMOTORS,2023-06-20 09:20:00,389.65,390.9785714285714,386.6607142857142,2023-06-20 12:10:00,390.9785714285714,L,-1.328571428571422,2023-06-20 09:15:00,0.1704826675954623,0.17418913809757,Low vol
TATAMOTORS,2023-06-20 14:30:00,399.25,401.0142857142857,395.2803571428571,2023-06-20 14:55:00,401.0142857142857,L,-1.7642857142857338,2023-06-20 14:25:00,0.2209499955273294,0.2519466556477382,High vol
TATAMOTORS,2023-06-21 09:40:00,400.65,402.87142857142857,395.65178571428567,2023-06-21 11:05:00,395.65178571428567,W,4.998214285714312,2023-06-21 09:35:00,0.2772280758053889,0.2720400457210615,High vol
TATAMOTORS,2023-06-22 10:50:00,400.45,401.85,397.3,2023-06-22 11:30:00,397.3,W,3.1499999999999773,2023-06-22 10:45:00,0.1748033462354842,0.1911305082195142,Mid vol
TATAMOTORS,2023-06-23 09:20:00,389.7,391.6928571428571,385.2160714285714,2023-06-23 09:40:00,385.2160714285714,W,4.483928571428578,2023-06-23 09:15:00,0.2557568201818723,0.2111918920195752,Mid vol
TATAMOTORS,2023-06-23 10:40:00,387.5,389.96428571428567,381.9553571428572,2023-06-23 15:00:00,387.0,EOD+,0.5,2023-06-23 10:35:00,0.3179723502304105,0.2631528090533729,High vol
TATAMOTORS,2023-06-26 10:50:00,387.35,389.1071428571428,383.3964285714287,2023-06-26 14:30:00,389.1071428571428,L,-1.75714285714281,2023-06-26 10:45:00,0.2268159103062907,0.2397344634364647,High vol
TATAMOTORS,2023-06-28 12:20:00,402.85,404.24285714285713,399.71607142857147,2023-06-28 12:25:00,404.24285714285713,L,-1.3928571428571104,2023-06-28 12:15:00,0.1729183293429093,0.2632950528648231,High vol
TATAMOTORS,2023-06-28 13:35:00,403.65,404.8785714285714,400.8857142857142,2023-06-28 14:45:00,404.8785714285714,L,-1.2285714285714562,2023-06-28 13:30:00,0.1522204718834672,0.237003203602299,High vol
TATAMOTORS,2023-06-30 11:50:00,409.75,411.1357142857143,406.63214285714287,2023-06-30 13:45:00,411.1357142857143,L,-1.3857142857143003,2023-06-30 11:45:00,0.1691132884689133,0.2504407067815309,High vol
TATAMOTORS,2023-06-30 14:40:00,410.15,411.5642857142857,406.9678571428572,2023-06-30 15:00:00,410.75,EOD-,-0.6000000000000227,2023-06-30 14:35:00,0.1723477594791263,0.1414616032942118,Low vol
TATAMOTORS,2023-07-03 09:55:00,410.4,412.8428571428571,404.9035714285714,2023-07-03 15:00:00,407.1,EOD+,3.2999999999999545,2023-07-03 09:50:00,0.297619047619046,0.1655625750440876,Low vol
TATAMOTORS,2023-07-04 10:00:00,407.65,409.7714285714285,402.87678571428575,2023-07-04 10:05:00,409.7714285714285,L,-2.1214285714285666,2023-07-04 09:55:00,0.2602022042718703,0.1782667857124048,Low vol
TATAMOTORS,2023-07-04 13:40:00,407.75,408.8642857142857,405.2428571428572,2023-07-04 15:00:00,407.35,EOD+,0.3999999999999772,2023-07-04 13:35:00,0.1366551035425189,0.1602765837188899,Low vol
TATAMOTORS,2023-07-05 09:30:00,407.3,408.8,403.925,2023-07-05 11:15:00,403.925,W,3.375000000000057,2023-07-05 09:25:00,0.1841846758349725,0.1400997945279337,Low vol
TATAMOTORS,2023-07-05 12:30:00,404.3,405.7142857142857,401.11785714285713,2023-07-05 13:45:00,405.7142857142857,L,-1.414285714285711,2023-07-05 12:25:00,0.1749054803717209,0.1741678286406745,Low vol
TATAMOTORS,2023-07-06 12:25:00,409.6,410.8642857142857,406.7553571428572,2023-07-06 14:10:00,410.8642857142857,L,-1.264285714285677,2023-07-06 12:20:00,0.1543317522321412,0.2357835278616107,High vol
TATAMOTORS,2023-07-07 09:40:00,413.95,416.2714285714285,408.7267857142857,2023-07-07 10:45:00,408.7267857142857,W,5.223214285714278,2023-07-07 09:35:00,0.2803657694962052,0.2213309219339058,Mid vol
TATAMOTORS,2023-07-07 13:20:00,408.7,409.7357142857143,406.3696428571429,2023-07-07 14:10:00,409.7357142857143,L,-1.0357142857142776,2023-07-07 13:15:00,0.1267083784822928,0.2029599586489684,Mid vol
TATAMOTORS,2023-07-10 14:05:00,428.65,430.8,423.8125,2023-07-10 15:00:00,426.75,EOD+,1.8999999999999773,2023-07-10 14:00:00,0.250787355651465,0.294906848144311,High vol
TATAMOTORS,2023-07-11 12:20:00,429.95,430.8857142857143,427.8446428571428,2023-07-11 13:10:00,430.8857142857143,L,-0.9357142857143116,2023-07-11 12:15:00,0.1088166398086177,0.2322756978080819,High vol
TATAMOTORS,2023-07-11 14:35:00,430.3,431.4285714285714,427.7607142857143,2023-07-11 14:50:00,431.4285714285714,L,-1.1285714285714334,2023-07-11 14:30:00,0.1311377444307954,0.124684079034678,Low vol
TATAMOTORS,2023-07-12 12:50:00,429.5,430.3357142857143,427.6196428571428,2023-07-12 15:00:00,428.85,EOD+,0.6499999999999773,2023-07-12 12:45:00,0.0972892067187763,0.1942462768028218,Mid vol
