symbol,model,split,bucket,n,pnl,pf,zpnl,zpf
BHARTIARTL,MA-alone,train,SHORT baseline,2837,139.26,1.036,-1235.48,0.735
BHARTIARTL,MA-alone,train,SHORT gated (flipped),1956,30.33,1.012,-882.19,0.718
BHARTIARTL,MA-alone,train,LONG baseline,2718,-218.72,0.946,-1558.3,0.683
BHARTIARTL,MA-alone,train,LONG gated (flipped),877,-239.34,0.837,-710.18,0.602
BHARTIARTL,MA-alone,train,COMBINED baseline,5555,-79.46,0.99,-2793.77,0.709
BHARTIARTL,MA-alone,train,COMBINED gated (flipped),2833,-209.02,0.948,-1592.37,0.676
BHARTIARTL,MA-alone,test,SHORT baseline,914,-112.98,0.959,-1483.15,0.588
BHARTIARTL,MA-alone,test,SHORT gated (flipped),480,-323.67,0.793,-1070.11,0.481
BHARTIARTL,MA-alone,test,LONG baseline,911,398.65,1.154,-972.82,0.717
BHARTIARTL,MA-alone,test,LONG gated (flipped),442,-59.66,0.955,-706.72,0.595
BHARTIARTL,MA-alone,test,COMBINED baseline,1825,285.67,1.054,-2455.96,0.651
BHARTIARTL,MA-alone,test,COMBINED gated (flipped),922,-383.33,0.867,-1776.83,0.533
BHARTIARTL,Model B,train,SHORT baseline,2837,139.26,1.036,-1235.48,0.735
BHARTIARTL,Model B,train,SHORT gated (flipped),1730,-50.67,0.978,-876.14,0.691
BHARTIARTL,Model B,train,LONG baseline,2718,-218.72,0.946,-1558.3,0.683
BHARTIARTL,Model B,train,LONG gated (flipped),1081,-132.0,0.922,-676.22,0.672
BHARTIARTL,Model B,train,COMBINED baseline,5555,-79.46,0.99,-2793.77,0.709
BHARTIARTL,Model B,train,COMBINED gated (flipped),2811,-182.67,0.955,-1552.36,0.683
BHARTIARTL,Model B,test,SHORT baseline,914,-112.98,0.959,-1483.15,0.588
BHARTIARTL,Model B,test,SHORT gated (flipped),490,-247.31,0.841,-989.01,0.517
BHARTIARTL,Model B,test,LONG baseline,911,398.65,1.154,-972.82,0.717
BHARTIARTL,Model B,test,LONG gated (flipped),436,4.78,1.004,-640.08,0.627
BHARTIARTL,Model B,test,COMBINED baseline,1825,285.67,1.054,-2455.96,0.651
BHARTIARTL,Model B,test,COMBINED gated (flipped),926,-242.54,0.915,-1629.08,0.567
CIPLA,Model A,train,SHORT baseline,2733,789.1,1.17,-1138.53,0.802
CIPLA,Model A,train,SHORT gated (flipped),1678,310.19,1.106,-868.83,0.759
CIPLA,Model A,train,LONG baseline,2873,-1461.0,0.756,-3499.02,0.524
CIPLA,Model A,train,LONG gated (flipped),1092,-1009.91,0.596,-1796.05,0.412
CIPLA,Model A,train,COMBINED baseline,5606,-671.9,0.937,-4637.55,0.646
CIPLA,Model A,train,COMBINED gated (flipped),2770,-699.72,0.871,-2664.89,0.6
CIPLA,Model A,test,SHORT baseline,888,309.53,1.134,-941.84,0.693
CIPLA,Model A,test,SHORT gated (flipped),523,286.03,1.215,-453.4,0.744
CIPLA,Model A,test,LONG baseline,929,-203.36,0.927,-1506.82,0.584
CIPLA,Model A,test,LONG gated (flipped),394,-238.81,0.805,-789.7,0.5
CIPLA,Model A,test,COMBINED baseline,1817,106.16,1.021,-2448.66,0.634
CIPLA,Model A,test,COMBINED gated (flipped),917,47.22,1.018,-1243.1,0.629
CIPLA,MA-alone,train,SHORT baseline,2688,734.0,1.161,-1166.11,0.793
CIPLA,MA-alone,train,SHORT gated (flipped),2010,181.91,1.054,-1181.25,0.719
CIPLA,MA-alone,train,LONG baseline,2823,-1381.64,0.763,-3389.51,0.529
CIPLA,MA-alone,train,LONG gated (flipped),735,-675.78,0.636,-1254.07,0.448
CIPLA,MA-alone,train,COMBINED baseline,5511,-647.64,0.938,-4555.63,0.645
CIPLA,MA-alone,train,COMBINED gated (flipped),2745,-493.86,0.906,-2435.32,0.624
CIPLA,MA-alone,test,SHORT baseline,874,309.14,1.136,-927.35,0.693
CIPLA,MA-alone,test,SHORT gated (flipped),636,248.89,1.149,-664.7,0.7
CIPLA,MA-alone,test,LONG baseline,913,-190.24,0.931,-1476.68,0.586
CIPLA,MA-alone,test,LONG gated (flipped),261,-228.19,0.729,-581.75,0.459
CIPLA,MA-alone,test,COMBINED baseline,1787,118.9,1.024,-2404.03,0.635
CIPLA,MA-alone,test,COMBINED gated (flipped),897,20.7,1.008,-1246.45,0.621
CIPLA,Model B,train,SHORT baseline,2688,734.0,1.161,-1166.11,0.793
CIPLA,Model B,train,SHORT gated (flipped),1601,170.39,1.061,-948.8,0.727
CIPLA,Model B,train,LONG baseline,2823,-1381.64,0.763,-3389.51,0.529
CIPLA,Model B,train,LONG gated (flipped),1128,-1140.74,0.566,-1960.13,0.391
CIPLA,Model B,train,COMBINED baseline,5511,-647.64,0.938,-4555.63,0.645
