date,ADANIPORTS,ASHOKLEY,AXISBANK,BANDHANBNK,BHARTIARTL,CIPLA,COALINDIA,DABUR,DIVISLAB,HDFCBANK,HINDALCO,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,NATIONALUM,NTPC,ONGC,PNB,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TATAMOTORS,TATASTEEL,TECHM,VEDL,WIPRO
2025-02-10,down,down,down,down,up,down,down,up,up,down,down,down,up,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,up
2025-02-11,down,down,down,down,up,down,down,up,up,down,down,down,up,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,up
2025-02-12,down,up,down,down,up,down,down,up,up,down,down,down,up,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,up
2025-02-13,down,up,down,down,up,up,down,up,up,down,down,down,up,down,down,up,down,down,down,down,down,down,down,down,down,up,down,down,up
2025-02-14,down,down,down,down,up,down,down,up,down,down,down,down,up,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,up
2025-02-17,down,up,down,down,up,up,down,up,up,down,up,down,up,down,down,up,down,down,down,down,down,down,down,down,down,down,down,down,down
2025-02-18,down,up,down,down,up,up,down,down,down,down,up,down,up,down,down,up,down,down,down,down,down,down,down,down,down,down,up,down,up
2025-02-19,down,up,down,down,up,down,down,down,up,up,up,down,up,down,down,up,down,down,down,down,down,down,down,down,down,up,down,down,up
2025-02-20,down,up,down,down,up,up,down,down,up,down,up,down,up,down,down,up,down,up,down,down,down,down,down,down,down,up,down,down,up
2025-02-21,down,up,down,down,up,up,down,down,down,down,up,down,up,down,down,up,down,up,down,down,down,down,down,down,down,up,down,down,up
2025-02-24,down,up,down,down,down,up,down,down,down,down,up,down,up,down,down,up,down,down,down,down,down,down,down,down,down,up,down,down,down
2025-02-25,down,up,down,down,up,down,down,down,down,down,up,down,up,down,down,up,down,down,down,down,down,down,down,down,down,up,down,down,down
2025-02-27,down,up,down,down,up,down,down,down,down,down,up,down,up,down,down,up,down,down,down,down,down,down,down,down,down,up,down,down,down
